Date,Residential,Change in private inventories,Personal consumption expenditures,Intellectual property products,Metric_Name
1990/11/20,,"-14,323","6,353,139",,Chained Dollars
1990/11/21,,"-14,323","6,353,139",,Chained Dollars
1990/11/22,,"-14,323","6,353,139",,Chained Dollars
1990/11/23,,"-14,323","6,353,139",,Chained Dollars
1990/11/24,,"-14,323","6,353,139",,Chained Dollars
1990/11/25,,"-14,323","6,353,139",,Chained Dollars
1990/11/26,,"-14,323","6,353,139",,Chained Dollars
1990/11/27,,"-14,323","6,353,139",,Chained Dollars
1990/11/28,,"-14,323","6,353,139",,Chained Dollars
1990/11/29,,"-14,323","6,353,139",,Chained Dollars
1990/11/30,,"-14,323","6,353,139",,Chained Dollars
1990/12/01,,"-14,323","6,353,139",,Chained Dollars
1990/12/02,,"-14,323","6,353,139",,Chained Dollars
1990/12/03,,"-14,323","6,353,139",,Chained Dollars
1990/12/04,,"-14,323","6,353,139",,Chained Dollars
1990/12/05,,"-14,323","6,353,139",,Chained Dollars
1990/12/06,,"-14,323","6,353,139",,Chained Dollars
1990/12/07,,"-14,323","6,353,139",,Chained Dollars
1990/12/08,,"-14,323","6,353,139",,Chained Dollars
1990/12/09,,"-14,323","6,353,139",,Chained Dollars
1990/12/10,,"-14,323","6,353,139",,Chained Dollars
1990/12/11,,"-14,323","6,353,139",,Chained Dollars
1990/12/12,,"-14,323","6,353,139",,Chained Dollars
1990/12/13,,"-14,323","6,353,139",,Chained Dollars
1990/12/14,,"-14,323","6,353,139",,Chained Dollars
1990/12/15,,"-14,323","6,353,139",,Chained Dollars
1990/12/16,,"-14,323","6,353,139",,Chained Dollars
1990/12/17,,"-14,323","6,353,139",,Chained Dollars
1990/12/18,,"-14,323","6,353,139",,Chained Dollars
1990/12/19,,"-14,323","6,353,139",,Chained Dollars
1990/12/20,,"-14,323","6,353,139",,Chained Dollars
1990/12/21,,"-14,323","6,353,139",,Chained Dollars
1990/12/22,,"-14,323","6,353,139",,Chained Dollars
1990/12/23,,"-14,323","6,353,139",,Chained Dollars
1990/12/24,,"-14,323","6,353,139",,Chained Dollars
1990/12/25,,"-14,323","6,353,139",,Chained Dollars
1990/12/26,,"-14,323","6,353,139",,Chained Dollars
1990/12/27,,"-14,323","6,353,139",,Chained Dollars
1990/12/28,,"-14,323","6,353,139",,Chained Dollars
1990/12/29,,"-14,323","6,353,139",,Chained Dollars
1990/12/30,,"-14,323","6,353,139",,Chained Dollars
1990/12/31,,"-14,323","6,353,139",,Chained Dollars
1991/01/01,,"-22,629","6,329,249",,Chained Dollars
1991/01/02,,"-22,629","6,329,249",,Chained Dollars
1991/01/03,,"-22,629","6,329,249",,Chained Dollars
1991/01/04,,"-22,629","6,329,249",,Chained Dollars
1991/01/05,,"-22,629","6,329,249",,Chained Dollars
1991/01/06,,"-22,629","6,329,249",,Chained Dollars
1991/01/07,,"-22,629","6,329,249",,Chained Dollars
1991/01/08,,"-22,629","6,329,249",,Chained Dollars
1991/01/09,,"-22,629","6,329,249",,Chained Dollars
1991/01/10,,"-22,629","6,329,249",,Chained Dollars
1991/01/11,,"-22,629","6,329,249",,Chained Dollars
1991/01/12,,"-22,629","6,329,249",,Chained Dollars
1991/01/13,,"-22,629","6,329,249",,Chained Dollars
1991/01/14,,"-22,629","6,329,249",,Chained Dollars
1991/01/15,,"-22,629","6,329,249",,Chained Dollars
1991/01/16,,"-22,629","6,329,249",,Chained Dollars
1991/01/17,,"-22,629","6,329,249",,Chained Dollars
1991/01/18,,"-22,629","6,329,249",,Chained Dollars
1991/01/19,,"-22,629","6,329,249",,Chained Dollars
1991/01/20,,"-22,629","6,329,249",,Chained Dollars
1991/01/21,,"-22,629","6,329,249",,Chained Dollars
1991/01/22,,"-22,629","6,329,249",,Chained Dollars
1991/01/23,,"-22,629","6,329,249",,Chained Dollars
1991/01/24,,"-22,629","6,329,249",,Chained Dollars
1991/01/25,,"-22,629","6,329,249",,Chained Dollars
1991/01/26,,"-22,629","6,329,249",,Chained Dollars
1991/01/27,,"-22,629","6,329,249",,Chained Dollars
1991/01/28,,"-22,629","6,329,249",,Chained Dollars
1991/01/29,,"-22,629","6,329,249",,Chained Dollars
1991/01/30,,"-22,629","6,329,249",,Chained Dollars
1991/01/31,,"-22,629","6,329,249",,Chained Dollars
1991/02/01,,"-26,846","6,381,703",,Chained Dollars
1991/02/02,,"-26,846","6,381,703",,Chained Dollars
1991/02/03,,"-26,846","6,381,703",,Chained Dollars
1991/02/04,,"-26,846","6,381,703",,Chained Dollars
1991/02/05,,"-26,846","6,381,703",,Chained Dollars
1991/02/06,,"-26,846","6,381,703",,Chained Dollars
1991/02/07,,"-26,846","6,381,703",,Chained Dollars
1991/02/08,,"-26,846","6,381,703",,Chained Dollars
1991/02/09,,"-26,846","6,381,703",,Chained Dollars
1991/02/10,,"-26,846","6,381,703",,Chained Dollars
1991/02/11,,"-26,846","6,381,703",,Chained Dollars
1991/02/12,,"-26,846","6,381,703",,Chained Dollars
1991/02/13,,"-26,846","6,381,703",,Chained Dollars
1991/02/14,,"-26,846","6,381,703",,Chained Dollars
1991/02/15,,"-26,846","6,381,703",,Chained Dollars
1991/02/16,,"-26,846","6,381,703",,Chained Dollars
1991/02/17,,"-26,846","6,381,703",,Chained Dollars
1991/02/18,,"-26,846","6,381,703",,Chained Dollars
1991/02/19,,"-26,846","6,381,703",,Chained Dollars
1991/02/20,,"-26,846","6,381,703",,Chained Dollars
1991/02/21,,"-26,846","6,381,703",,Chained Dollars
1991/02/22,,"-26,846","6,381,703",,Chained Dollars
1991/02/23,,"-26,846","6,381,703",,Chained Dollars
1991/02/24,,"-26,846","6,381,703",,Chained Dollars
1991/02/25,,"-26,846","6,381,703",,Chained Dollars
1991/02/26,,"-26,846","6,381,703",,Chained Dollars
1991/02/27,,"-26,846","6,381,703",,Chained Dollars
1991/02/28,,"-26,846","6,381,703",,Chained Dollars
1991/03/01,,"1,133","6,413,521",,Chained Dollars
1991/03/02,,"1,133","6,413,521",,Chained Dollars
1991/03/03,,"1,133","6,413,521",,Chained Dollars
1991/03/04,,"1,133","6,413,521",,Chained Dollars
1991/03/05,,"1,133","6,413,521",,Chained Dollars
1991/03/06,,"1,133","6,413,521",,Chained Dollars
1991/03/07,,"1,133","6,413,521",,Chained Dollars
1991/03/08,,"1,133","6,413,521",,Chained Dollars
1991/03/09,,"1,133","6,413,521",,Chained Dollars
1991/03/10,,"1,133","6,413,521",,Chained Dollars
1991/03/11,,"1,133","6,413,521",,Chained Dollars
1991/03/12,,"1,133","6,413,521",,Chained Dollars
1991/03/13,,"1,133","6,413,521",,Chained Dollars
1991/03/14,,"1,133","6,413,521",,Chained Dollars
1991/03/15,,"1,133","6,413,521",,Chained Dollars
1991/03/16,,"1,133","6,413,521",,Chained Dollars
1991/03/17,,"1,133","6,413,521",,Chained Dollars
1991/03/18,,"1,133","6,413,521",,Chained Dollars
1991/03/19,,"1,133","6,413,521",,Chained Dollars
1991/03/20,,"1,133","6,413,521",,Chained Dollars
1991/03/21,,"1,133","6,413,521",,Chained Dollars
1991/03/22,,"1,133","6,413,521",,Chained Dollars
1991/03/23,,"1,133","6,413,521",,Chained Dollars
1991/03/24,,"1,133","6,413,521",,Chained Dollars
1991/03/25,,"1,133","6,413,521",,Chained Dollars
1991/03/26,,"1,133","6,413,521",,Chained Dollars
1991/03/27,,"1,133","6,413,521",,Chained Dollars
1991/03/28,,"1,133","6,413,521",,Chained Dollars
1991/03/29,,"1,133","6,413,521",,Chained Dollars
1991/03/30,,"1,133","6,413,521",,Chained Dollars
1991/03/31,,"1,133","6,413,521",,Chained Dollars
1991/04/01,,"39,445","6,410,312",,Chained Dollars
1991/04/02,,"39,445","6,410,312",,Chained Dollars
1991/04/03,,"39,445","6,410,312",,Chained Dollars
1991/04/04,,"39,445","6,410,312",,Chained Dollars
1991/04/05,,"39,445","6,410,312",,Chained Dollars
1991/04/06,,"39,445","6,410,312",,Chained Dollars
1991/04/07,,"39,445","6,410,312",,Chained Dollars
1991/04/08,,"39,445","6,410,312",,Chained Dollars
1991/04/09,,"39,445","6,410,312",,Chained Dollars
1991/04/10,,"39,445","6,410,312",,Chained Dollars
1991/04/11,,"39,445","6,410,312",,Chained Dollars
1991/04/12,,"39,445","6,410,312",,Chained Dollars
1991/04/13,,"39,445","6,410,312",,Chained Dollars
1991/04/14,,"39,445","6,410,312",,Chained Dollars
1991/04/15,,"39,445","6,410,312",,Chained Dollars
1991/04/16,,"39,445","6,410,312",,Chained Dollars
1991/04/17,,"39,445","6,410,312",,Chained Dollars
1991/04/18,,"39,445","6,410,312",,Chained Dollars
1991/04/19,,"39,445","6,410,312",,Chained Dollars
1991/04/20,,"39,445","6,410,312",,Chained Dollars
1991/04/21,,"39,445","6,410,312",,Chained Dollars
1991/04/22,,"39,445","6,410,312",,Chained Dollars
1991/04/23,,"39,445","6,410,312",,Chained Dollars
1991/04/24,,"39,445","6,410,312",,Chained Dollars
1991/04/25,,"39,445","6,410,312",,Chained Dollars
1991/04/26,,"39,445","6,410,312",,Chained Dollars
1991/04/27,,"39,445","6,410,312",,Chained Dollars
